"section","metric_id","label","value","unit","evidence_type","notes"
"headline","scheduled-games","Scheduled games per active slot","6","games","production-rule",""
"headline","simulated-matchups","Historical six-game matchups modeled","390000","matchups","historical-simulation",""
"headline","underdog-wins","Projected-underdog wins","37.5","percent","v4-sensitivity-estimate",""
"headline","close-matchups","Matchups within 25 points","23.4","percent","v4-sensitivity-estimate",""
"position","C-mean","Center mean six-game points","44.4","points","historical-fantasy-relevant-windows","Offensive ceiling with a deeper replacement pool."
"position","C-cv","Center coefficient of variation","0.392","ratio","historical-fantasy-relevant-windows","Offensive ceiling with a deeper replacement pool."
"position","C-p10","Center 10th percentile","22.7","points","historical-fantasy-relevant-windows","Offensive ceiling with a deeper replacement pool."
"position","C-p90","Center 90th percentile","67.9","points","historical-fantasy-relevant-windows","Offensive ceiling with a deeper replacement pool."
"position","C-100-plus","Center 100+ frequency","0.18","percent","historical-fantasy-relevant-windows","Offensive ceiling with a deeper replacement pool."
"position","LW-mean","Left Wing mean six-game points","43.1","points","historical-fantasy-relevant-windows","Boom-or-bust scoring with strong elite scarcity."
"position","LW-cv","Left Wing coefficient of variation","0.402","ratio","historical-fantasy-relevant-windows","Boom-or-bust scoring with strong elite scarcity."
"position","LW-p10","Left Wing 10th percentile","21.7","points","historical-fantasy-relevant-windows","Boom-or-bust scoring with strong elite scarcity."
"position","LW-p90","Left Wing 90th percentile","66.6","points","historical-fantasy-relevant-windows","Boom-or-bust scoring with strong elite scarcity."
"position","LW-100-plus","Left Wing 100+ frequency","0.22","percent","historical-fantasy-relevant-windows","Boom-or-bust scoring with strong elite scarcity."
"position","RW-mean","Right Wing mean six-game points","43.2","points","historical-fantasy-relevant-windows","Similar starter-level scoring to LW with position-specific scarcity."
"position","RW-cv","Right Wing coefficient of variation","0.402","ratio","historical-fantasy-relevant-windows","Similar starter-level scoring to LW with position-specific scarcity."
"position","RW-p10","Right Wing 10th percentile","21.1","points","historical-fantasy-relevant-windows","Similar starter-level scoring to LW with position-specific scarcity."
"position","RW-p90","Right Wing 90th percentile","66.2","points","historical-fantasy-relevant-windows","Similar starter-level scoring to LW with position-specific scarcity."
"position","RW-100-plus","Right Wing 100+ frequency","0.08","percent","historical-fantasy-relevant-windows","Similar starter-level scoring to LW with position-specific scarcity."
"position","D-mean","Defense mean six-game points","53.8","points","historical-fantasy-relevant-windows","A steadier floor built from usage and multiple categories."
"position","D-cv","Defense coefficient of variation","0.286","ratio","historical-fantasy-relevant-windows","A steadier floor built from usage and multiple categories."
"position","D-p10","Defense 10th percentile","33.1","points","historical-fantasy-relevant-windows","A steadier floor built from usage and multiple categories."
"position","D-p90","Defense 90th percentile","73.6","points","historical-fantasy-relevant-windows","A steadier floor built from usage and multiple categories."
"position","D-100-plus","Defense 100+ frequency","0.16","percent","historical-fantasy-relevant-windows","A steadier floor built from usage and multiple categories."
"position","G-mean","Team Goalie Unit mean six-game points","93.5","points","production-v4-sensitivity-estimate","Highest typical total, stronger floor, and meaningful quality separation."
"position","G-cv","Team Goalie Unit coefficient of variation","0.256","ratio","production-v4-sensitivity-estimate","Highest typical total, stronger floor, and meaningful quality separation."
"position","G-p10","Team Goalie Unit 10th percentile","62.8","points","production-v4-sensitivity-estimate","Highest typical total, stronger floor, and meaningful quality separation."
"position","G-p90","Team Goalie Unit 90th percentile","124","points","production-v4-sensitivity-estimate","Highest typical total, stronger floor, and meaningful quality separation."
"position","G-100-plus","Team Goalie Unit 100+ frequency","39.7","percent","production-v4-sensitivity-estimate","Highest typical total, stronger floor, and meaningful quality separation."
"simulation","projectedUnderdogWinPercent","projectedUnderdogWinPercent","37.5","percent","v4-sensitivity-estimate","A strong draft materially improves season results, while one six-game matchup still gives an underdog a realistic path to win."
"simulation","closeMatchupPercentWithin25","closeMatchupPercentWithin25","23.4","percent","v4-sensitivity-estimate","A strong draft materially improves season results, while one six-game matchup still gives an underdog a realistic path to win."
